condition,review_body,rating,sentiment
Pain,born arthriti mani narcot base drug year treat notic someon say methadon make feel tire sit know normal side effect urg men take narcot pain medic get testosteron check narcot lower level testoseron make feel tire feel tire time realli get go would hot flash got level check testosteron almost femal level get testosteron shot feel much better medicin long term get level check,5.0,Neutral
Birth Control,put medic three week ago problem nausea moodi angri sleepi time absolut zero sex drive bloat wors part constant stomach upset gas period start two week earlier medic work,1.0,Negative
ADHD,adderal realli help stay focus school care dose,8.0,Positive
Birth Control,implanon sinc june say hadno pregnanc side no one told would bruis day left arm would hurt much time period alway regular month day side gain weight alway weight around went almost never happen tri lose weight noth seem work great birth control weight no good,9.0,Positive
Acne,appli topic like mask milk magnesia treat acn year heavi stuff not work,7.0,Neutral
Emergency Contraception,took hour intercours condom tore week pregnant cvs attend gave pill say plan b not spend extra get plan b work,1.0,Negative
Constipation,taken laxat mild cramp cramp unbeliev produc bm diarrhea blood still cramp poop next day took pill night bed sever cramp woke hour later not never,2.0,Negative
ADHD,write tell feel like commerci adder xr like everi typic mom work part time go school part time lead browni troop take care children husband dog keep normal household event adder xr reform life amaz differ made abl keep level head priorit know live without thank adder xr,9.0,Positive
Birth Control,want start say let bad review scare particular nervous pain year old read other bad experi day post insert feel great took ibuprofen misoprostol adavan lol procedur back anxieti advic grit teeth breath feel nauseous insert doctor sweet let rest juic would not recommend tri drive home afterward cramp dizzi remain although reliev heat pad got day thanksgiv still healthi appetit cramp spot start worth,10.0,Positive
"Hypogonadism, Male",year old male use fentanyl chronic pain result testosteron drop asid obvious sexual dysfunct low testosteron constant burn hot time even ac degre hot flash stop within week start treatment sexual function improv dramat month testosteron better still not like go ask mg dose also type diabet insulin resist androgel definit help insulin resist medicin look smell like hand sanit easi use fume pretti strong got use,10.0,Positive
Depression,unfortun side effect requir cessat bruis cough blood brain shiver howev excel treatment depress major sleep disord longstand night terror,8.0,Positive
Panic Disorde,got medic doctor yesterday gave mg tablet told take time day morn took first one got light head dizzi lie got nauseous light head felt like bodi experi get bed four hour even still extrem light head anoth three hour needless say take two pill day,1.0,Negative
Trichomoniasis,diagnos trichomoniasi came unsur took white pill soon got experi major side effect feel flush bodi temperatur rise dehydr knew increas bodi temp indic medic work not yet follow obgyn soon coupl day repost person result abl better rate drug partner also took tindamax said felt extrem itchi bodi nauseous complain chemic odor whenev would urin yet go get follow doctor well,7.0,Neutral
Cold Sores,intermit chronic fatigu syndrom cfs sinc present viral like symptom id dr found local reknown univers treat cfs anti viral decid give shot took month work moment current month remiss unpreced longest remiss previous month still fear symptom may one day return moment look like valtrex keep bay cfs suffer test posit hsv hhv ebv etc would recommend ask dr medicin,10.0,Positive
Bladder Infection,work fine allerg antibiot not one thank get uti frequent alway cultur sometim wait period help thing realli get go normal day cours not get headach side effect other everybodi bodi differ way know react take,8.0,Positive
Emergency Contraception,unprotect sex wednesday took pill thursday today done noth sleep sinc take pill also slight headach still worri take pill mind eas regular period due week irregular guess wait tri not stress even,9.0,Positive
Birth Control,love thing never problem three year put anoth one birth control tricki not everyon high metabol never gain weight stop period eight month also greatest thing ever,10.0,Positive
Urinary Tract Infection,initi given amoxicillin uti day still fever cloudi urin overal blah went back dr given cipro wow less hour later fever gone urin clear headach know cipro sleep much list side effect bit scari far no problem,9.0,Positive
Bowel Preparation,like previous poster focus negat review terrifi first prep pm took first dose mix prep cold water refriger take read lemon slice trick time hand took three larg gulp problem drank next ounc water eas minut later first movement dose bathroom hour minut second dose repeat pm exact thing abl sleep leav hous worri noth finish result fine,10.0,Positive
Angina,take drug five year great drug plan day suppli bother even though never thought drug anyth two heart bypass surgeri four stent place coronari arteri past year cardiologist prescrib drug caus ran option angina like said never anyth recent lost good drug plan new part prescript drug plan pay per month drug ridicul manufactur offer discount line anoth rip product literatur say realli understand work well guess drug scam,1.0,Negative
Bipolar Disorde,took geodon alongsid lexapro alreadi taken lexapro past year never dyston reaction howev nurs practition introduc geodon went dystonia dystonia bodi begin contort involuntarili could liter feel neck twist tri snap thank cure benadryl dystonia not perman want tri med keep suppli benadryl stop dyston reaction call ambul right away even not medic caus dystonia sever other like risperidon halodol abilifi combin anti depress increas risk dystonia goodluck,1.0,Negative
Anxiety and Stress,life changer,10.0,Positive
Depression,effexor month found not particular help weight gain extrem tired day feel blah decid go took longer get take withdraw terribl head spin would last day focus extrem dizzi turn quick etc,4.0,Negative
Birth Control,ortho tri cyclen lo year never realiz give craziest mood swing went loestrin fe first happi came almost complet loss sex drive also becam moodi snappi no reason doctor call said discontinu loestrin put chewabl pill not happi first pill tast like littl mint actual realli like top great mood even probabl no mood swing gain sex drive back breast seem tad fuller noth crazi also no weight gain love,10.0,Positive
Vaginal Yeast Infection,got monistat day complet kit burn like hell first hour use make vagina realli itchi outsid burn insid toler first night made feel complet normal day next time second day put cream minut ago still burn know toler hope job better feel infect,5.0,Neutral
Depression,cymbalta quit work switch viibryd quit take viibryd week medicin not appetit uncontrol gain pound agit easili alway tire current not antidepress much better,3.0,Negative
Acne,mild acn doctor prescrib minocyclin epiduo gel safe say combin two made acn disappear experienc flake red first day use epiduo gel day hyperpigment gone best,10.0,Positive
Urinary Tract Infection,suffer overact bladder year toviaz extrem effect unless stand period time eg outdoor concert weak pelvic floor caus increas feel urgenc spasm gyno suggest take prior go stand comfort w feel like constant pee great improv social life enjoy prone serotonin syndrom possibl side effect sure take med sever hour apart fine,9.0,Positive
"Diabetes, Type 1",think everi diabet normal individu produc insulin releas time keep sugar rise much meal keep food stomach longer give feel full control appetit keep liver produc much insulin type benefit symilin action blunt peak glucos meal take less insulin synergist effect prevent liver ad problem produc glucos top overweight control appetit get mind food eat normal size portion,10.0,Positive
Bipolar Disorde,first start take gave anxieti find right dose work well no advers side effect,9.0,Positive
Depression,love take mg deal wonder boyfriend crap ex husband sex drive still low luck chang,8.0,Positive
Depression,take wellbutrin mg xl year major depress effect stabil mood also help mental concentr focus tri generic seem work well extrem stress challeng job difficult relationship separ partner alcohol abus fear anoth episod far manag remain stabl would lost without,10.0,Positive
Dietary Supplementation,take l glutamin mg x day week experienc hour episod transient global amnesia confus loss memori end er ct scan lab eeg negat could not discov anyth wrong cannot say amnesia episod due l glutamin new thing diet supplement told sensit medic easili experi negat side effect mayb contribut caus,1.0,Negative
Nausea/Vomiting of Pregnancy,best medic ever start take week loos lbs wks tri stop one day limit use nausea still go guess keep use medic thing seem help tablet night,10.0,Positive
Weight Loss,start phentermin june nd lbs jitteri sinc first dose yesterday anxieti roof give updat day,5.0,Neutral
Allergic Rhinitis,taken year not make drowsi work great,10.0,Positive
Anxiety,lexapro month almost never want xanax anymor sleep better sinc teenag two negat result sex drive decreas mark weight gain even two factor would never consid go back person lexapro,9.0,Positive
Insomnia,given belsomra sampl psychiatrist advis take mg first night help take mg next night took mg pm not help fall asleep woke work incred dizzi could not walk straight felt confus slow troubl depth percept unabl work full day tri take nap pm room spin laid fall asleep keep eye open either psych suggest sleep studi frustrat not quit hour later still feel dizzi,1.0,Negative
Obesity,taken qsymia coupl day alreadi lost sever pound desir food alcohol sugar today day three feel littl depress today want take longer see depress lift add info time progress,8.0,Positive
